-------------------------------------------------------------------------------------------------------------------------------
|Ce. |Material          |Texto breve de material                 |UMB| Libre utilización| Stock en tránsito|         Bloqueado|
|F058|10037637          |ISOPLAST 159                            |L  |                0 |                0 |                0 |
|F061|10037637          |ISOPLAST 159                            |L  |        4.943,160 |                0 |                0 |
|F066|10037637          |ISOPLAST 159                            |L  |                0 |                0 |                0 |
|F069|10037637          |ISOPLAST 159                            |L  |                0 |                0 |                0 |
|F075|10037637          |ISOPLAST 159                            |L  |        2.187,667 |                0 |                0 |
|F080|10037637          |ISOPLAST 159                            |L  |                0 |                0 |                0 |
|F086|10037637          |ISOPLAST 159                            |L  |                0 |                0 |                0 |
|FA04|10037637          |ISOPLAST 159                            |L  |        6.063,621 |                0 |                0 |
|FA05|10037637          |ISOPLAST 159                            |L  |        3.120,850 |                0 |                0 |
|FB25|10037637          |ISOPLAST 159                            |L  |                0 |                0 |                0 |
|FB63|10037637          |ISOPLAST 159                            |L  |        2.525,758 |                0 |                0 |
|FB80|10037637          |ISOPLAST 159                            |L  |              670 |                0 |                0 |
|FB89|10037637          |ISOPLAST 159                            |L  |                0 |                0 |                0 |
|FB91|10037637          |ISOPLAST 159                            |L  |        2.138,962 |                0 |                0 |
|F001|10037639          |CX ISOFLOW 751                          |L  |        7.527,180 |                0 |                0 |
|F003|10037639          |CX ISOFLOW 751                          |L  |        3.620,157 |                0 |                0 |
|F006|10037639          |CX ISOFLOW 751                          |L  |        5.150,339 |                0 |                0 |
|F007|10037639          |CX ISOFLOW 751                          |L  |        2.647,700 |                0 |                0 |
|F009|10037639          |CX ISOFLOW 751                          |L  |        7.022,939 |                0 |                0 |
|F011|10037639          |CX ISOFLOW 751                          |L  |        7.268,003 |                0 |                0 |
|F012|10037639          |CX ISOFLOW 751                          |L  |        4.103,852 |                0 |                0 |
|F014|10037639          |CX ISOFLOW 751                          |L  |                0 |                0 |                0 |
|F015|10037639          |CX ISOFLOW 751                          |L  |                0 |                0 |                0 |
|F020|10037639          |CX ISOFLOW 751                          |L  |                0 |                0 |                0 |
|F030|10037639          |CX ISOFLOW 751                          |L  |        4.387,570 |                0 |                0 |
|F031|10037639          |CX ISOFLOW 751                          |L  |                0 |                0 |                0 |
|F044|10037639          |CX ISOFLOW 751                          |L  |                0 |                0 |                0 |
|F046|10037639          |CX ISOFLOW 751                          |L  |        2.066,708 |                0 |                0 |
|F047|10037639          |CX ISOFLOW 751                          |L  |        4.414,733 |                0 |                0 |
|F048|10037639          |CX ISOFLOW 751                          |L  |                0 |                0 |                0 |
|F049|10037639          |CX ISOFLOW 751                          |L  |        9.158,551 |                0 |                0 |
|F055|10037639          |CX ISOFLOW 751                          |L  |        7.747,911 |                0 |                0 |
|F058|10037639          |CX ISOFLOW 751                          |L  |        8.470,940 |                0 |                0 |
|F061|10037639          |CX ISOFLOW 751                          |L  |        2.052,906 |                0 |                0 |
|F066|10037639          |CX ISOFLOW 751                          |L  |            0,011 |                0 |                0 |
|F069|10037639          |CX ISOFLOW 751                          |L  |        8.472,077 |                0 |                0 |
|F075|10037639          |CX ISOFLOW 751                          |L  |        2.597,418 |                0 |                0 |
|F080|10037639          |CX ISOFLOW 751                          |L  |                0 |                0 |                0 |
|F086|10037639          |CX ISOFLOW 751                          |L  |        3.622,598 |                0 |                0 |
|FA04|10037639          |CX ISOFLOW 751                          |L  |        4.943,892 |                0 |                0 |
|FA05|10037639          |CX ISOFLOW 751                          |L  |        3.428,437 |                0 |                0 |
|FB25|10037639          |CX ISOFLOW 751                          |L  |                0 |                0 |                0 |
|FB40|10037639          |CX ISOFLOW 751                          |L  |        8.688,402 |                0 |                0 |
|FB63|10037639          |CX ISOFLOW 751                          |L  |        2.727,302 |                0 |                0 |
|FB80|10037639          |CX ISOFLOW 751                          |L  |            1.800 |                0 |                0 |
|FB84|10037639          |CX ISOFLOW 751                          |L  |                0 |                0 |                0 |
|FB87|10037639          |CX ISOFLOW 751                          |L  |        2.150,445 |                0 |                0 |
|FB89|10037639          |CX ISOFLOW 751                          |L  |                0 |                0 |                0 |
|FB91|10037639          |CX ISOFLOW 751                          |L  |        4.462,403 |                0 |                0 |
|FB93|10037639          |CX ISOFLOW 751                          |L  |            1.000 |                0 |                0 |
|F001|10037732          |ISOPLAST 157                            |L  |        2.709,270 |                0 |                0 |
|F003|10037732          |ISOPLAST 157                            |L  |        3.152,503 |                0 |                0 |
|F006|10037732          |ISOPLAST 157                            |L  |        3.538,201 |                0 |                0 |
|F007|10037732          |ISOPLAST 157                            |L  |        3.047,977 |                0 |                0 |
|F009|10037732          |ISOPLAST 157                            |L  |                0 |                0 |                0 |
|F011|10037732          |ISOPLAST 157                            |L  |                0 |                0 |                0 |
|F012|10037732          |ISOPLAST 157                            |L  |                0 |                0 |                0 |
|F014|10037732          |ISOPLAST 157                            |L  |                0 |                0 |                0 |
|F015|10037732          |ISOPLAST 157                            |L  |                0 |                0 |                0 |
|F020|10037732          |ISOPLAST 157                            |L  |                0 |                0 |                0 |
|F030|10037732          |ISOPLAST 157                            |L  |        2.165,996 |                0 |                0 |
|F031|10037732          |ISOPLAST 157                            |L  |                0 |                0 |                0 |
|F044|10037732          |ISOPLAST 157                            |L  |                0 |                0 |                0 |
|F046|10037732          |ISOPLAST 157                            |L  |        1.547,078 |                0 |                0 |
|F047|10037732          |ISOPLAST 157                            |L  |        4.641,696 |                0 |                0 |
|F048|10037732          |ISOPLAST 157                            |L  |                0 |                0 |                0 |
|F049|10037732          |ISOPLAST 157                            |L  |        7.037,630 |                0 |                0 |
|F055|10037732          |ISOPLAST 157                            |L  |                0 |                0 |                0 |
|F058|10037732          |ISOPLAST 157                            |L  |        3.733,360 |                0 |                0 |
|F061|10037732          |ISOPLAST 157                            |L  |                0 |                0 |                0 |
|F066|10037732          |ISOPLAST 157                            |L  |                0 |                0 |                0 |
|F069|10037732          |ISOPLAST 157                            |L  |        3.031,454 |                0 |                0 |
|F075|10037732          |ISOPLAST 157                            |L  |                0 |                0 |                0 |
|F080|10037732          |ISOPLAST 157                            |L  |                0 |                0 |                0 |
|F086|10037732          |ISOPLAST 157                            |L  |        2.491,998 |                0 |                0 |
|FA04|10037732          |ISOPLAST 157                            |L  |                0 |                0 |                0 |
|FA05|10037732          |ISOPLAST 157                            |L  |                0 |                0 |                0 |
|FB25|10037732          |ISOPLAST 157                            |L  |                0 |                0 |                0 |
|FB63|10037732          |ISOPLAST 157                            |L  |                0 |                0 |                0 |
|FB80|10037732          |ISOPLAST 157                            |L  |                0 |                0 |                0 |
|FB84|10037732          |ISOPLAST 157                            |L  |                0 |                0 |                0 |
|FB87|10037732          |ISOPLAST 157                            |L  |        2.580,716 |                0 |                0 |
|FB93|10037732          |ISOPLAST 157                            |L  |            3.000 |                0 |                0 |
|F001|10057467          |ISOFOAM 520                             |L  |          321,559 |                0 |                0 |
|F003|10057467          |ISOFOAM 520                             |L  |           65,688 |                0 |                0 |
|F006|10057467          |ISOFOAM 520                             |L  |                0 |                0 |                0 |
|F007|10057467          |ISOFOAM 520                             |L  |          122,676 |                0 |                0 |
|F009|10057467          |ISOFOAM 520                             |L  |          120,360 |                0 |                0 |
|F011|10057467          |ISOFOAM 520                             |L  |                0 |                0 |                0 |
|F012|10057467          |ISOFOAM 520                             |L  |                0 |                0 |                0 |
|F014|10057467          |ISOFOAM 520                             |L  |                0 |                0 |                0 |
|F015|10057467          |ISOFOAM 520                             |L  |                0 |                0 |                0 |
|F020|10057467          |ISOFOAM 520                             |L  |                0 |                0 |                0 |
|F030|10057467          |ISOFOAM 520                             |L  |                0 |                0 |                0 |
|F031|10057467          |ISOFOAM 520                             |L  |                0 |                0 |                0 |
|F044|10057467          |ISOFOAM 520                             |L  |                0 |                0 |                0 |
|F046|10057467          |ISOFOAM 520                             |L  |                0 |                0 |                0 |
|F047|10057467          |ISOFOAM 520                             |L  |                0 |                0 |                0 |
|F048|10057467          |ISOFOAM 520                             |L  |            0,274 |                0 |                0 |
|F049|10057467          |ISOFOAM 520                             |L  |          130,999 |                0 |                0 |
|F055|10057467          |ISOFOAM 520                             |L  |          220,621 |                0 |                0 |
|F058|10057467          |ISOFOAM 520                             |L  |           58,701 |                0 |                0 |
|F061|10057467          |ISOFOAM 520                             |L  |                0 |                0 |                0 |
|F066|10057467          |ISOFOAM 520                             |L  |                0 |                0 |                0 |
|F069|10057467          |ISOFOAM 520                             |L  |          186,266 |                0 |                0 |
|F075|10057467          |ISOFOAM 520                             |L  |                0 |                0 |                0 |
|F080|10057467          |ISOFOAM 520                             |L  |                0 |                0 |                0 |
|F086|10057467          |ISOFOAM 520                             |L  |           12,882 |                0 |                0 |
|FA04|10057467          |ISOFOAM 520                             |L  |          407,688 |                0 |                0 |
|FB25|10057467          |ISOFOAM 520                             |L  |                0 |                0 |                0 |
|FB40|10057467          |ISOFOAM 520                             |L  |                0 |                0 |                0 |
|FB63|10057467          |ISOFOAM 520                             |L  |                0 |                0 |                0 |
|FB80|10057467          |ISOFOAM 520                             |L  |                0 |                0 |                0 |
|FB84|10057467          |ISOFOAM 520                             |L  |                0 |                0 |                0 |
|FB87|10057467          |ISOFOAM 520                             |L  |                0 |                0 |                0 |
|FB91|10057467          |ISOFOAM 520                             |L  |                0 |                0 |                0 |
|FB93|10057467          |ISOFOAM 520                             |L  |                0 |                0 |                0 |
|F048|10100321          |ISOPLAST 1580                           |L  |                0 |                0 |                0 |
|F066|10100321          |ISOPLAST 1580                           |L  |        3.955,321 |                0 |                0 |
|F069|10100321          |ISOPLAST 1580                           |L  |                0 |                0 |                0 |
|F011|10101239          |ISOPLAST 1600                           |L  |        5.212,457 |                0 |                0 |
|FA05|10101239          |ISOPLAST 1600                           |L  |                0 |                0 |                0 |
|FB25|10101239          |ISOPLAST 1600                           |L  |        3.030,741 |                0 |                0 |
|FB40|10101239          |ISOPLAST 1600                           |L  |        6.321,926 |                0 |                0 |
|F014|10116168          |ISOPLAST 1640                           |L  |                0 |                0 |                0 |
|F020|10116168          |ISOPLAST 1640                           |L  |              740 |                0 |                0 |
|F031|10116168          |ISOPLAST 1640                           |L  |                0 |                0 |                0 |
|F001|10128791          |ISOKHORE 2500                           |L  |          601,179 |                0 |                0 |
|F003|10128791          |ISOKHORE 2500                           |L  |          160,801 |                0 |                0 |
|F006|10128791          |ISOKHORE 2500                           |L  |                0 |                0 |                0 |
|F007|10128791          |ISOKHORE 2500                           |L  |                0 |                0 |                0 |
|F009|10128791          |ISOKHORE 2500                           |L  |                0 |                0 |                0 |
|F011|10128791          |ISOKHORE 2500                           |L  |           32,416 |                0 |                0 |
|F030|10128791          |ISOKHORE 2500                           |L  |                0 |                0 |                0 |
|F048|10128791          |ISOKHORE 2500                           |L  |                0 |                0 |                0 |
|F049|10128791          |ISOKHORE 2500                           |L  |                0 |                0 |                0 |
|F055|10128791          |ISOKHORE 2500                           |L  |          285,130 |                0 |                0 |
|F058|10128791          |ISOKHORE 2500                           |L  |                0 |                0 |                0 |
|F066|10128791          |ISOKHORE 2500                           |L  |                0 |                0 |                0 |
|F069|10128791          |ISOKHORE 2500                           |L  |        1.675,522 |                0 |                0 |
|F080|10128791          |ISOKHORE 2500                           |L  |          256,565 |                0 |                0 |
|F086|10128791          |ISOKHORE 2500                           |L  |            0,002 |                0 |                0 |
|FB25|10128791          |ISOKHORE 2500                           |L  |                0 |                0 |                0 |
|FB40|10128791          |ISOKHORE 2500                           |L  |            0,048 |                0 |                0 |
|FB63|10128791          |ISOKHORE 2500                           |L  |                0 |                0 |                0 |
|FB80|10128791          |ISOKHORE 2500                           |L  |                0 |                0 |                0 |
|FB84|10128791          |ISOKHORE 2500                           |L  |                0 |                0 |                0 |
|FB87|10128791          |ISOKHORE 2500                           |L  |                0 |                0 |                0 |
|FB93|10128791          |ISOKHORE 2500                           |L  |                0 |                0 |                0 |
|F001|10132349          |ISOFLOW 8800                            |L  |                0 |                0 |                0 |
|F003|10132349          |ISOFLOW 8800                            |L  |                0 |                0 |                0 |
|F006|10132349          |ISOFLOW 8800                            |L  |                0 |                0 |                0 |
|F007|10132349          |ISOFLOW 8800                            |L  |                0 |                0 |                0 |
